postalcode,placename,stateabbreviation,county,
62048,hartford,il,madison,
62434,ingraham,il,clay,
62425,dundas,il,richland,
62885,shobonier,il,fayette,
62838,farina,il,fayette,
62084,roxana,il,madison,
62095,wood river,il,madison,
62880,saint peter,il,fayette,
62284,smithboro,il,bond,
62024,east alton,il,madison,
62001,alhambra,il,madison,
62273,pierron,il,bond,
62046,hamel,il,madison,
62246,greenville,il,bond,
62475,west liberty,il,jasper,
62036,golden eagle,il,calhoun,
62426,edgewood,il,effingham,
62010,bethalto,il,madison,
62002,alton,il,madison,
62427,flat rock,il,crawford,
62018,cottage hills,il,madison,
62013,brussels,il,calhoun,
62459,sainte marie,il,jasper,
62262,mulberry grove,il,bond,
62067,moro,il,madison,
62471,vandalia,il,fayette,
62097,worden,il,madison,
62035,godfrey,il,madison,
62028,elsah,il,jersey,
62443,mason,il,effingham,
62074,new douglas,il,madison,
62058,livingston,il,madison,
62086,sorento,il,bond,
62480,willow hill,il,jasper,
62247,hagarstown,il,fayette,
62857,loogootee,il,fayette,
62021,dorsey,il,madison,
62448,newton,il,jasper,
62418,brownstown,il,fayette,
62464,stoy,il,crawford,
62473,watson,il,effingham,
62449,oblong,il,crawford,
62037,grafton,il,jersey,
62451,palestine,il,crawford,
62454,robinson,il,crawford,
62088,staunton,il,macoupin,
62479,wheeler,il,jasper,
62022,dow,il,jersey,
62458,saint elmo,il,fayette,
62077,panama,il,montgomery,
62424,dieterich,il,effingham,
62019,donnellson,il,bond,
62012,brighton,il,jersey,
62014,bunker hill,il,macoupin,
62091,walshville,il,montgomery,
62411,altamont,il,effingham,
62093,wilsonville,il,macoupin,
62069,mount olive,il,macoupin,
62006,batchtown,il,calhoun,
62080,ramsey,il,fayette,
62085,sawyerville,il,macoupin,
62017,coffeen,il,montgomery,
62009,benld,il,macoupin,
62032,fillmore,il,montgomery,
62433,hutsonville,il,crawford,
62031,fieldon,il,jersey,
62023,eagarville,il,macoupin,
62011,bingham,il,fayette,
62079,piasa,il,macoupin,
62413,annapolis,il,crawford,
62052,jerseyville,il,jersey,
62401,effingham,il,effingham,
62089,taylor springs,il,montgomery,
62432,hidalgo,il,jasper,
62481,yale,il,jasper,
62467,teutopolis,il,effingham,
62033,gillespie,il,macoupin,
62065,michael,il,calhoun,
62070,mozier,il,calhoun,
62049,hillsboro,il,montgomery,
62030,fidelity,il,jersey,
62047,hardin,il,calhoun,
62445,montrose,il,effingham,
62676,plainview,il,,
62056,litchfield,il,montgomery,
62414,beecher city,il,effingham,
62461,shumway,il,effingham,
62478,west york,il,crawford,
62685,shipman,il,macoupin,
62063,medora,il,jersey,
62054,kane,il,greene,
62436,jewett,il,cumberland,
62051,irving,il,montgomery,
62015,butler,il,montgomery,
62462,sigel,il,shelby,
62045,hamburg,il,calhoun,
62431,herrick,il,shelby,
62422,cowden,il,shelby,
62686,standard city,il,macoupin,
62477,west union,il,clark,
62094,witt,il,montgomery,
62630,chesterfield,il,macoupin,
62683,scottville,il,macoupin,
62463,stewardson,il,shelby,
62428,greenup,il,cumberland,
62468,toledo,il,cumberland,
62081,rockbridge,il,greene,
62027,eldred,il,greene,
62553,oconee,il,shelby,
62626,carlinville,il,macoupin,
62016,carrollton,il,greene,
62420,casey,il,clark,
62075,nokomis,il,montgomery,
62053,kampsville,il,calhoun,
62560,raymond,il,montgomery,
62438,lakewood,il,shelby,
62442,martinsville,il,clark,
62078,patterson,il,greene,
62447,neoga,il,cumberland,
62511,atwater,il,macoupin,
62076,ohlman,il,montgomery,
62044,greenfield,il,greene,
62465,strasburg,il,shelby,
62572,waggoner,il,montgomery,
62538,harvel,il,montgomery,
62083,rosamond,il,christian,
62435,janesville,il,cumberland,
62649,hettick,il,macoupin,
62098,wrights,il,greene,
62640,girard,il,macoupin,
62571,tower hill,il,shelby,
62469,trilla,il,coles,
62440,lerna,il,coles,
62557,pana,il,christian,
62672,nilwood,il,macoupin,
62546,morrisonville,il,christian,
62355,nebo,il,pike,
62441,marshall,il,clark,
62674,palmyra,il,macoupin,
62092,white hall,il,greene,
61957,windsor,il,shelby,
62444,mode,il,shelby,
62533,farmersville,il,montgomery,
62474,westfield,il,clark,
62361,pearl,il,pike,
62366,pleasant hill,il,pike,
62423,dennison,il,clark,
62565,shelbyville,il,shelby,
62050,hillview,il,greene,
62556,palmer,il,christian,
62667,modesto,il,macoupin,
62555,owaneco,il,christian,
62574,findlay,il,,
61928,gays,il,moultrie,
61938,mattoon,il,coles,
62082,roodhouse,il,greene,
61920,charleston,il,coles,
62690,virden,il,macoupin,
62510,assumption,il,christian,
62534,findlay,il,shelby,
61912,ashmore,il,coles,
62370,rockport,il,pike,
62372,summer hill,il,,
62689,thayer,il,sangamon,
62663,manchester,il,scott,
62352,milton,il,pike,
62610,alsey,il,scott,
61933,kansas,il,edgar,
62568,taylorville,il,christian,
62530,divernon,il,sangamon,
62668,murrayville,il,morgan,
62550,moweaqua,il,shelby,
62540,kincaid,il,christian,
62692,waverly,il,morgan,
62570,tovey,il,christian,
62517,bulpitt,il,christian,
62615,auburn,il,sangamon,
61951,sullivan,il,moultrie,
61931,humboldt,il,coles,
62363,pittsfield,il,pike,
62558,pawnee,il,sangamon,
61944,paris,il,edgar,
62332,detroit,il,,
62695,woodson,il,morgan,
62638,franklin,il,morgan,
62694,winchester,il,scott,
62536,glenarm,il,sangamon,
62356,new canton,il,pike,
61914,bethany,il,moultrie,
62567,stonington,il,christian,
61943,oakland,il,coles,
61949,redmon,il,edgar,
62531,edinburg,il,christian,
62661,loami,il,sangamon,
62629,chatham,il,sangamon,
61955,vermilion,il,edgar,
61910,arcola,il,douglas,
61917,brocton,il,edgar,
62345,kinderhook,il,pike,
62513,blue mound,il,macon,
62651,jacksonville,il,morgan,
62357,new salem,il,pike,
61930,hindsboro,il,douglas,
62544,macon,il,macon,
62312,barry,il,pike,
61911,arthur,il,douglas,
62340,griggsville,il,pike,
61925,dalton city,il,moultrie,
62563,rochester,il,sangamon,
62343,hull,il,pike,
61937,lovington,il,moultrie,
62621,bluffs,il,scott,
62650,jacksonville,il,morgan,
62662,lowder,il,sangamon,
62705,springfield,il,sangamon,
62709,springfield,il,sangamon,
62713,springfield,il,sangamon,
62715,springfield,il,sangamon,
62719,springfield,il,sangamon,
62720,springfield,il,sangamon,
62721,springfield,il,sangamon,
62722,springfield,il,sangamon,
62723,springfield,il,sangamon,
62726,springfield,il,sangamon,
62736,springfield,il,sangamon,
62739,springfield,il,sangamon,
62746,springfield,il,sangamon,
62756,springfield,il,sangamon,
62757,springfield,il,sangamon,
62762,springfield,il,sangamon,
62763,springfield,il,sangamon,
62764,springfield,il,sangamon,
62765,springfield,il,sangamon,
62766,springfield,il,sangamon,
62767,springfield,il,sangamon,
62769,springfield,il,sangamon,
62776,springfield,il,sangamon,
62777,springfield,il,sangamon,
62781,springfield,il,sangamon,
62786,springfield,il,sangamon,
62791,springfield,il,sangamon,
62794,springfield,il,sangamon,
62796,springfield,il,sangamon,
62601,alexander,il,morgan,
62712,springfield,il,sangamon,
62314,baylis,il,pike,
62703,springfield,il,sangamon,
62514,boody,il,macon,
62711,springfield,il,sangamon,
62670,new berlin,il,sangamon,
62547,mount auburn,il,christian,
62549,mt zion,il,macon,
62628,chapin,il,morgan,
62704,springfield,il,sangamon,
62545,mechanicsburg,il,sangamon,
62718,springfield,il,sangamon,
62532,elwin,il,macon,
62362,perry,il,pike,
61942,newman,il,douglas,
61929,hammond,il,piatt,
61936,la place,il,piatt,
62706,springfield,il,sangamon,
61953,tuscola,il,douglas,
61924,chrisman,il,edgar,
61919,camargo,il,douglas,
61941,murdock,il,douglas,
62701,springfield,il,sangamon,
62365,plainville,il,adams,
61940,metcalf,il,edgar,
61932,hume,il,edgar,
61913,atwood,il,douglas,
62708,springfield,il,sangamon,
62323,chambersburg,il,pike,
62360,payson,il,adams,
62665,meredosia,il,morgan,
62631,concord,il,morgan,
62702,springfield,il,sangamon,
62677,pleasant plains,il,sangamon,
62521,decatur,il,macon,
62523,decatur,il,macon,
62522,decatur,il,macon,
62716,springfield,il,sangamon,
62515,buffalo,il,sangamon,
62539,illiopolis,il,sangamon,
62761,springfield,il,sangamon,
62524,decatur,il,macon,
62525,decatur,il,macon,
62527,decatur,il,macon,
62707,springfield,il,sangamon,
62520,dawson,il,sangamon,
62537,harristown,il,macon,
62551,niantic,il,macon,
62526,decatur,il,macon,
62660,literberry,il,morgan,
62561,riverton,il,sangamon,
61818,cerro gordo,il,piatt,
61956,villa grove,il,douglas,
62552,oakley,il,macon,
62378,versailles,il,brown,
62347,liberty,il,adams,
62611,arenzville,il,cass,
61852,longview,il,champaign,
61876,sidell,il,vermilion,
62684,sherman,il,sangamon,
61816,broadlands,il,champaign,
61863,pesotum,il,champaign,
61870,ridge farm,il,vermilion,
62625,cantrall,il,sangamon,
61810,allerton,il,vermilion,
61813,bement,il,piatt,
61855,milmine,il,piatt,
62535,forsyth,il,macon,
61850,indianola,il,vermilion,
62693,williamsville,il,sangamon,
62301,quincy,il,adams,
62328,columbus,il,,
62501,argenta,il,macon,
62554,oreana,il,macon,
62519,cornland,il,logan,
62612,ashland,il,cass,
62688,tallula,il,menard,
62573,warrensburg,il,macon,
61851,ivesdale,il,champaign,
62691,virginia,il,cass,
62305,quincy,il,adams,
61872,sadorus,il,champaign,
62541,lake fork,il,logan,
62543,latham,il,logan,
62675,petersburg,il,menard,
62306,quincy,il,adams,
61846,georgetown,il,vermilion,
62622,bluff springs,il,cass,
62353,mount sterling,il,brown,
61880,tolono,il,champaign,
62613,athens,il,menard,
62338,fowler,il,adams,
61830,cisco,il,piatt,
62618,beardstown,il,cass,
62548,mount pulaski,il,logan,
61864,philo,il,champaign,
62375,timewell,il,brown,
62634,elkhart,il,logan,
62324,clayton,il,adams,
61877,sidney,il,champaign,
61856,monticello,il,piatt,
62320,camp point,il,adams,
62659,lincoln's new salem,il,menard,
61756,maroa,il,macon,
61849,homer,il,champaign,
62359,paloma,il,adams,
61841,fairmount,il,vermilion,
62627,chandlerville,il,cass,
61883,westville,il,vermilion,
62325,coatsburg,il,adams,
62518,chestnut,il,logan,
61874,savoy,il,champaign,
61817,catlin,il,vermilion,
61802,urbana,il,champaign,
62376,ursa,il,adams,
62351,mendon,il,adams,
61833,tilton,il,vermilion,
62666,middletown,il,logan,
62673,oakford,il,menard,
61884,white heath,il,piatt,
62642,greenview,il,menard,
61875,seymour,il,champaign,
61803,urbana,il,champaign,
61821,champaign,il,champaign,
61815,bondville,il,champaign,
61801,urbana,il,champaign,
61839,de land,il,piatt,
61820,champaign,il,champaign,
61749,kenney,il,de witt,
61826,champaign,il,champaign,
62681,rushville,il,schuyler,
61857,muncie,il,vermilion,
61858,oakwood,il,vermilion,
61882,weldon,il,de witt,
61844,fithian,il,vermilion,
62339,golden,il,adams,
61873,saint joseph,il,champaign,
61750,lane,il,de witt,
62624,browning,il,schuyler,
62639,frederick,il,schuyler,
61822,champaign,il,champaign,
61832,danville,il,vermilion,
61824,champaign,il,champaign,
61825,champaign,il,champaign,
61859,ogden,il,champaign,
62512,beason,il,logan,
62656,lincoln,il,logan,
61727,clinton,il,de witt,
62319,camden,il,schuyler,
62349,loraine,il,adams,
62617,bath,il,mason,
62344,huntsville,il,schuyler,
62346,la prairie,il,adams,
62655,kilbourne,il,mason,
61834,danville,il,vermilion,
62348,lima,il,adams,
62671,new holland,il,logan,
61735,dewitt,il,de witt,
61871,royal,il,champaign,
61853,mahomet,il,champaign,
61854,mansfield,il,piatt,
61812,armstrong,il,vermilion,
61751,lawndale,il,logan,
61831,collison,il,vermilion,
62664,mason city,il,mason,
62633,easton,il,mason,
61501,astoria,il,fulton,
61777,wapella,il,de witt,
61452,littleton,il,schuyler,
62311,augusta,il,hancock,
62316,bowen,il,hancock,
61878,thomasboro,il,champaign,
61778,waynesville,il,de witt,
61842,farmer city,il,de witt,
62643,hartsburg,il,logan,
62380,west point,il,hancock,
61814,bismarck,il,vermilion,
61723,atlanta,il,logan,
62373,sutter,il,hancock,
61868,rantoul,il,,
62635,emden,il,logan,
61843,fisher,il,champaign,
61811,alvin,il,vermilion,
62682,san jose,il,mason,
61847,gifford,il,champaign,
61848,henning,il,vermilion,
61484,vermont,il,fulton,
62644,havana,il,mason,
61865,potomac,il,vermilion,
61862,penfield,il,champaign,
61866,rantoul,il,champaign,
61840,dewey,il,champaign,
62367,plymouth,il,hancock,
61440,industry,il,mcdonough,
61754,mc lean,il,mclean,
62313,basco,il,hancock,
61745,heyworth,il,mclean,
61724,bellflower,il,mclean,
61567,topeka,il,mason,
61752,le roy,il,mclean,
62379,warsaw,il,hancock,
62327,colmar,il,,
61845,foosland,il,champaign,
61441,ipava,il,fulton,
61532,forest city,il,mason,
61721,armington,il,tazewell,
60963,rossville,il,vermilion,
61734,delavan,il,tazewell,
60949,ludlow,il,champaign,
61482,table grove,il,fulton,
61542,lewistown,il,fulton,
61411,adair,il,mcdonough,
61543,liverpool,il,fulton,
61736,downs,il,mclean,
61722,arrowsmith,il,mclean,
62321,carthage,il,hancock,
62374,tennessee,il,mcdonough,
62326,colchester,il,mcdonough,
61546,manito,il,mason,
62310,adrian,il,hancock,
62334,elvaston,il,hancock,
61772,shirley,il,mclean,
61534,green valley,il,tazewell,
61747,hopedale,il,tazewell,
61770,saybrook,il,mclean,
61759,minier,il,tazewell,
61774,stanford,il,mclean,
62341,hamilton,il,hancock,
61705,bloomington,il,mclean,
61737,ellsworth,il,mclean,
61433,fiatt,il,fulton,
60960,rankin,il,vermilion,
60957,paxton,il,ford,
61709,bloomington,il,mclean,
61455,macomb,il,mcdonough,
60932,east lynn,il,vermilion,
60942,hoopeston,il,vermilion,
60933,elliott,il,ford,
60936,gibson city,il,ford,
61519,bryant,il,fulton,
62336,ferris,il,hancock,
61704,bloomington,il,mclean,
61710,bloomington,il,mclean,
61701,bloomington,il,mclean,
61477,smithfield,il,fulton,
62318,burnside,il,hancock,
61799,bloomington,il,mclean,
61563,saint david,il,fulton,
61524,dunfermline,il,fulton,
61564,south pekin,il,tazewell,
61459,marietta,il,fulton,
61416,bardolph,il,mcdonough,
61427,cuba,il,fulton,
61568,tremont,il,tazewell,
61790,normal,il,mclean,
61761,normal,il,mclean,
61702,bloomington,il,mclean,
61758,merna,il,mclean,
61791,bloomington,il,mclean,
60948,loda,il,iroquois,
62354,nauvoo,il,hancock,
60973,wellington,il,iroquois,
61730,cooksville,il,mclean,
61732,danvers,il,mclean,
61755,mackinaw,il,tazewell,
61720,anchor,il,mclean,
61420,blandinsville,il,mcdonough,
61776,towanda,il,mclean,
61422,bushnell,il,mcdonough,
61558,pekin,il,tazewell,
61539,kingston mines,il,peoria,
61520,canton,il,fulton,
61555,pekin,il,tazewell,
61554,pekin,il,tazewell,
60926,claytonville,il,iroquois,
61728,colfax,il,mclean,
60952,melvin,il,ford,
62329,colusa,il,hancock,
62330,dallas city,il,hancock,
61438,good hope,il,mcdonough,
61533,glasford,il,peoria,
61773,sibley,il,ford,
61475,sciota,il,mcdonough,
61450,la harpe,il,hancock,
60924,cissna park,il,iroquois,
62358,niota,il,hancock,
61535,groveland,il,tazewell,
60918,buckley,il,iroquois,
61725,carlock,il,mclean,
61731,cropsey,il,mclean,
61431,ellisville,il,fulton,
61547,mapleton,il,peoria,
61550,morton,il,tazewell,
61470,prairie city,il,mcdonough,
60962,roberts,il,ford,
61748,hudson,il,mclean,
61729,congerville,il,woodford,
61733,deer creek,il,tazewell,
61553,norris,il,fulton,
60953,milford,il,iroquois,
61607,peoria,il,peoria,
61742,goodfield,il,woodford,
61753,lexington,il,mclean,
61641,peoria,il,peoria,
61610,creve coeur,il,tazewell,
61432,fairview,il,fulton,
61775,strawn,il,livingston,
61415,avon,il,fulton,
61611,east peoria,il,tazewell,
61454,lomax,il,henderson,
61605,peoria,il,peoria,
61569,trivoli,il,peoria,
61536,hanna city,il,peoria,
61531,farmington,il,fulton,
61602,peoria,il,peoria,
60968,thawville,il,iroquois,
61634,peoria,il,peoria,
61629,peoria,il,peoria,
61601,peoria,il,peoria,
61544,london mills,il,fulton,
61625,peoria,il,peoria,
61606,peoria,il,peoria,
61636,peoria,il,peoria,
61637,peoria,il,peoria,
61571,washington,il,tazewell,
61639,peoria,il,peoria,
61604,peoria,il,peoria,
60955,onarga,il,iroquois,
61603,peoria,il,peoria,
60974,woodland,il,iroquois,
61530,eureka,il,woodford,
61771,secor,il,woodford,
61473,roseville,il,warren,
61474,saint augustine,il,knox,
61633,peoria,il,peoria,
61738,el paso,il,woodford,
60928,crescent city,il,iroquois,
61613,peoria,il,peoria,
61744,gridley,il,mclean,
61518,brimfield,il,peoria,
61612,peoria,il,peoria,
61628,peoria,il,peoria,
61630,peoria,il,peoria,
61635,peoria,il,peoria,
61643,peoria,il,peoria,
61650,peoria,il,peoria,
61651,peoria,il,peoria,
61653,peoria,il,peoria,
61654,peoria,il,peoria,
61655,peoria,il,peoria,
61656,peoria,il,peoria,
61726,chenoa,il,mclean,
61739,fairbury,il,livingston,
61616,peoria,il,peoria,
60939,goodwine,il,iroquois,
60967,stockland,il,iroquois,
60921,chatsworth,il,livingston,
61741,forrest,il,livingston,
61480,stronghurst,il,henderson,
61425,carman,il,henderson,
60959,piper city,il,ford,
61478,smithshire,il,warren,
61460,media,il,henderson,
61632,peoria,il,peoria,
61644,peoria,il,peoria,
61615,peoria,il,peoria,
60938,gilman,il,iroquois,
61614,peoria,il,peoria,
61529,elmwood,il,peoria,
60970,watseka,il,iroquois,
61528,edwards,il,peoria,
61417,berwick,il,warren,
60966,sheldon,il,iroquois,
61548,metamora,il,woodford,
61458,maquon,il,knox,
61640,peoria,il,peoria,
61572,yates city,il,knox,
61561,roanoke,il,woodford,
61638,peoria,il,peoria,
61410,abingdon,il,knox,
61552,mossville,il,peoria,
60930,danforth,il,iroquois,
60945,iroquois,il,iroquois,
61516,benson,il,woodford,
61437,gladstone,il,henderson,
61517,brimfield,il,peoria,
61525,dunlap,il,peoria,
61471,raritan,il,henderson,
61418,biggsville,il,henderson,
61447,kirkwood,il,warren,
61562,rome,il,peoria,
61743,graymont,il,livingston,
61764,pontiac,il,livingston,
61436,gilson,il,knox,
61652,peoria,il,peoria,
60929,cullom,il,livingston,
61740,flanagan,il,livingston,
61545,lowpoint,il,woodford,
60911,ashkum,il,iroquois,
61769,saunemin,il,livingston,
61423,cameron,il,warren,
60931,donovan,il,iroquois,
61760,minonk,il,woodford,
61523,chillicothe,il,peoria,
60951,martinton,il,iroquois,
61559,princeville,il,stark,
61448,knoxville,il,knox,
61462,monmouth,il,warren,
60946,kempton,il,ford,
61570,washburn,il,marshall,
61489,williamsfield,il,knox,
61402,galesburg,il,knox,
61451,laura,il,peoria,
60927,clifton,il,iroquois,
61430,east galesburg,il,knox,
61469,oquawka,il,henderson,
61526,edelstein,il,peoria,
61401,galesburg,il,knox,
61321,dana,il,la salle,
61428,dahinda,il,knox,
60956,papineau,il,iroquois,
60912,beaverville,il,iroquois,
60934,emington,il,livingston,
60919,cabery,il,ford,
61358,rutland,il,la salle,
61435,gerlaw,il,warren,
61479,speer,il,stark,
61333,long point,il,livingston,
61369,toluca,il,marshall,
61541,la rose,il,marshall,
61565,sparland,il,marshall,
61453,little york,il,warren,
61540,lacon,il,marshall,
61488,wataga,il,knox,
60460,odell,il,livingston,
60920,campus,il,livingston,
60922,chebanse,il,iroquois,
61485,victoria,il,knox,
61439,henderson,il,knox,
61319,cornell,il,livingston,
61375,varna,il,marshall,
61311,ancona,il,livingston,
60917,buckingham,il,kankakee,
60941,herscher,il,kankakee,
60964,saint anne,il,kankakee,
61412,alexis,il,mercer,
61377,wenona,il,marshall,
61491,wyoming,il,stark,
60958,pembroke township,il,kankakee,5
61313,blackstone,il,livingston,
61476,seaton,il,mercer,
61424,camp grove,il,marshall,
61467,oneida,il,knox,
